TERR_ID,NAME,KODTERR,IS_OKATO,SHORTNAME
96376,"Республика Калмыкия",85000000000,1,"Правительство Республики Калмыкия"
96377,"Республика Карелия",86000000000,1,"Правительство Республики Карелия"
96378,"Республика Коми",87000000000,1,"Правительство Республики Коми"
96379,"Республика Марий Эл",88000000000,1,"Правительство Республики Марий Эл"
96380,"Республика Мордовия",89000000000,1,"Правительство Республики Мордовия"
96381,"Республика Северная Осетия-Алания",90000000000,1,"Правительство Республики Северная Осетия-Алания"
96382,"Карачаево-Черкесская Республика",91000000000,1,"Правительство Карачаево-Черкесской Республики"
96383,"Республика Татарстан (Татарстан)",92000000000,1,"Кабинет Министров Республики Татарстан"
96384,"Республика Тыва",93000000000,1,"Правительство Республики Тыва"
96385,"Удмуртская Республика",94000000000,1,"Правительство Удмуртской Республики"
96386,"Республика Хакасия",95000000000,1,"Правительство Республики Хакасия"
96387,"Чеченская республика",96000000000,1,"Правительство Чеченской Республики"
96388,"Чувашская Республика - Чувашия",97000000000,1,"Кабинет Министров Чувашской Республики-Чувашия"
96389,"Республика Саха (Якутия)",98000000000,1,"Правительство Республики Саха (Якутия)"
96390,"Еврейская автономная область",99000000000,1,"Правительство Еврейской авт. обл."
